"id";"title";"slug";"acronym";"url";"organization";"organization_id";"owner";"owner_id";"description";"frequency";"license";"temporal_coverage.start";"temporal_coverage.end";"spatial.granularity";"spatial.zones";"featured";"created_at";"last_modified";"tags";"archived";"resources_count";"main_resources_count";"resources_formats";"downloads";"harvest.backend";"harvest.domain";"harvest.created_at";"harvest.modified_at";"harvest.remote_url";"quality_score";"metric.discussions";"metric.reuses";"metric.followers";"metric.views";"metric.resources_downloads"
"67a1e983bf9d219de1d86bbd";"Fiches d'informations sur les stations complémentaires";"fiches-dinformations-sur-les-stations-complementaires";"";"https://www.data.gouv.fr/fr/datasets/fiches-dinformations-sur-les-stations-complementaires/";"Météo-France";"534fff8ba3a7292c64a77ed4";"";"";"### **Présentation**

Accès aux caractéristiques des stations météorologiques complémentaires de nos partenaires.
Cette fiche comprend la localisation, les emplacements successifs, la date d'ouverture et de fermeture, la qualité du site, la classe des mesures, le catalogue des mesures, instrumentation et photographies du site en l'état de nos bases. ";"punctual";"Licence Ouverte / Open Licence version 2.0";"1786-01-01";"2025-02-12";"other";"";False;"2025-02-04T10:18:43.863000";"2025-03-16T09:09:56.579000";"fiche,instrumentation,localisation";False;786;786;"pdf";7332;"";"";"";"";"";"0.89";0;0;0;92;7332
"67a1e85a366f75613f750296";"Fiches d'informations sur les stations";"fiches-dinformations-sur-les-stations";"";"https://www.data.gouv.fr/fr/datasets/fiches-dinformations-sur-les-stations/";"Météo-France";"534fff8ba3a7292c64a77ed4";"";"";"### **Présentation**

Accès aux caractéristiques des stations météorologiques de Météo-France.
Cette fiche comprend la localisation, les emplacements successifs, la date d'ouverture et de fermeture, la qualité du site, la classe des mesures, le catalogue des mesures, instrumentation et photographies du site en l'état de nos bases. ";"punctual";"Licence Ouverte / Open Licence version 2.0";"1786-01-01";"2025-02-12";"other";"";False;"2025-02-04T10:13:46.388000";"2025-03-26T09:37:51.064000";"fiche,instrumentation,localisation";False;15014;15014;"pdf";6431;"";"";"";"";"";"0.89";0;0;0;78;6431
"67910698aae7f4e70034cf7e";"Données climatologiques de base -  6 minutes - stations complémentaires";"donnees-climatologiques-de-base-6-minutes-stations-complementaires";"";"https://www.data.gouv.fr/fr/datasets/donnees-climatologiques-de-base-6-minutes-stations-complementaires/";"Météo-France";"534fff8ba3a7292c64a77ed4";"";"";"### **Présentation**

Données climatologiques des stations complémentaires de métropole et d'outre-mer pour le paramètre précipitation au pas temps 6 minutes. L'accès à toute la profondeur de la base de données est possible (depuis juillet 2005 au plus tôt).

### **Informations techniques**

- Les données 6mn de précipitations sont proposées en téléchargement, par département et par lots de période au format csv compressé
- La mise à jour des fichiers est annuelle pour les fichiers par décennie, mensuelles pour les fichiers de la décennie en cours jusqu'à l'année -2 et quotidiennes pour les deux dernières années
- Les heures sont exprimées en UTC pour la métropole et en FU pour l'outre-mer
";"daily";"Licence Ouverte / Open Licence version 2.0";"2000-01-01";"2025-02-01";"fr:departement";"";False;"2025-01-22T14:54:16.159000";"2025-03-04T10:33:55.007000";"climatologique-base,climatologique-base-donnees-stations-complementaires,hvd,meteodatagouvfr,meteorologiques";False;32;32;"csv.gz";540;"";"";"";"";"";"0.89";0;0;0;266;492
"67910646543edd2701937075";"Données climatologiques de base - décadaires agro - stations complémentaires";"donnees-climatologiques-de-base-decadaires-agro-stations-complementaires";"";"https://www.data.gouv.fr/fr/datasets/donnees-climatologiques-de-base-decadaires-agro-stations-complementaires/";"Météo-France";"534fff8ba3a7292c64a77ed4";"";"";"### Présentation

Données climatologiques, mesurées ou calculées, des stations complémentaires de métropole et d'outre-mer depuis leur ouverture, pour les paramètres agrométéorologiques : hauteur des précipitations, vitesse moyenne du vent, moyenne des températures minimales et maximales, tension de vapeur moyenne, cumul du rayonnement global, durée d'insolation et ETP Penman.

Ces données ont subi un contrôle climatologique.

### Informations techniques

- Les données sont proposées en téléchargement, par département et par lots de période au format csv compressé
- L'ensemble des paramètres agrométéorologiques est fourni pour l'ensemble des stations météorologiques
- La mise à jour des fichiers est annuelle pour les historiques avant 1950, mensuelles pour les fichiers de 1950 jusqu'à l'année -2 et quotidiennes pour les deux dernières années";"daily";"Licence Ouverte / Open Licence version 2.0";"1950-01-01";"2025-02-04";"fr:departement";"";False;"2025-01-22T14:52:54.138000";"2025-03-26T07:37:34.059000";"climatologique-base,climatologique-base-donnees-stations-complementaires,hvd,meteodatagouvfr,meteorologiques";False;80;80;"csv.gz";1307;"";"";"";"";"";"1.00";0;0;0;273;1211
"679105fab4d7bba9aa3fd4be";"Données climatologiques de base - décadaires - stations complémentaires";"donnees-climatologiques-de-base-decadaires-stations-complementaires";"";"https://www.data.gouv.fr/fr/datasets/donnees-climatologiques-de-base-decadaires-stations-complementaires/";"Météo-France";"534fff8ba3a7292c64a77ed4";"";"";"## Présentation
Ce jeu de données contient des fichiers contenant des informations climatologiques de base.

## Informations techniques
- Les données décadaires des stations complémentaires sont proposées ici en téléchargement, par départements et par lots de périodes au format csv compressé.
- L'ensemble des paramètres météos est fourni pour l'ensemble des postes météorologiques.
- Les heures sont exprimées en UTC pour la métropole et en FU pour l'outre-mer
- Le fichier contenant la période finale depuis le 01/01/2020 est mis à jour régulièrement, chaque début de mois.
- La mise à jour des fichiers est annuelle pour les historiques avant 1950, mensuelles pour les fichiers de 1950 jusqu'à l'année -2 et quotidiennes pour les deux dernières années
";"daily";"Licence Ouverte / Open Licence version 2.0";"1908-01-01";"2025-02-04";"fr:departement";"";False;"2025-01-22T14:51:38.937000";"2025-03-26T07:42:30.608000";"climatologique-base,climatologique-base-donnees-stations-complementaires,hvd,meteodatagouvfr,meteorologiques";False;151;151;"csv.gz";2346;"";"";"";"";"";"1.00";0;0;0;910;2346
"6791055a6d553b689a5e2ba4";"Données climatologiques de base - horaires - stations complémentaires";"donnees-climatologiques-de-base-horaires-stations-complementaires";"";"https://www.data.gouv.fr/fr/datasets/donnees-climatologiques-de-base-horaires-stations-complementaires/";"Météo-France";"534fff8ba3a7292c64a77ed4";"";"";"### Présentation

Données climatologiques de toutes les stations complémentaires de  métropole et outre-mer depuis leur ouverture, pour tous les paramètres disponibles. Les données ont subi un contrôle climatologique
### 
Informations techniques

- Les données horaires sont proposées en téléchargement, par département et par lots de période au format csv compressé
- L'ensemble des paramètres est fourni pour l'ensemble des stations météorologiques
- Les heures sont exprimées en UTC pour la métropole et en FU pour l'outre-mer
- La mise à jour des fichiers est annuelle pour les fichiers par décennie, mensuelles pour les fichiers de la décennie en cours jusqu'à l'année -2 et quotidiennes pour les deux dernières années";"daily";"Licence Ouverte / Open Licence version 2.0";"1920-01-01";"2025-02-04";"fr:departement";"";False;"2025-01-22T14:48:58.153000";"2025-03-26T07:57:50.331000";"climatologique-base,climatologique-base-donnees-stations-complementaires,hvd,meteodatagouvfr,meteorologiques";False;307;307;"csv.gz";4334;"";"";"";"";"";"1.00";0;0;0;217;4234
"6791045ba9116b0a49e6a720";"Données climatologiques de base - mensuelles - stations complémentaires";"donnees-climatologiques-de-base-mensuelles-stations-complementaires";"";"https://www.data.gouv.fr/fr/datasets/donnees-climatologiques-de-base-mensuelles-stations-complementaires/";"Météo-France";"534fff8ba3a7292c64a77ed4";"";"";"### Présentation

Données climatologiques de toutes les stations complémentaires de métropole et d'outre-mer depuis leur ouverture, pour tous les paramètres disponibles. Les données ont subi un contrôle climatologique.

### Informations techniques

- Les données décadaires sont proposées en téléchargement, par département et par lots de période au format csv compressé
- L'ensemble des paramètres est fourni pour l'ensemble des stations météorologiques
- Les heures sont exprimées en UTC pour la métropole et en FU pour l'outre-mer
- La mise à jour des fichiers est annuelle pour les historiques avant 1950, mensuelles pour les fichiers de 1950 jusqu'à l'année -2 et quotidiennes pour les deux dernières années";"daily";"Licence Ouverte / Open Licence version 2.0";"1908-01-01";"2025-02-04";"fr:departement";"";False;"2025-01-22T14:44:43.112000";"2025-03-26T08:12:04.755000";"climatologique-base,climatologique-base-donnees-stations-complementaires,hvd,meteodatagouvfr,meteorologiques";False;151;151;"csv.gz";2520;"";"";"";"";"";"1.00";0;0;0;206;2389
"679103e271c55090cfe86871";"Données climatologiques de base - quotidiennes - stations complémentaires";"donnees-climatologiques-de-base-quotidiennes-stations-complementaires";"";"https://www.data.gouv.fr/fr/datasets/donnees-climatologiques-de-base-quotidiennes-stations-complementaires/";"Météo-France";"534fff8ba3a7292c64a77ed4";"";"";"### Présentation

Données climatologiques de toutes les stations complémentaires de métropole et d'outre-mer depuis leur ouverture, pour tous les paramètres disponibles. Ces données ont subi un contrôle climatologique.

### Informations techniques

- Les données quotidiennes sont proposées en téléchargement, par département, et par lots de période au format csv compressé
- L'ensemble des paramètres est fourni pour l'ensemble des stations météorologiques
- Les heures sont exprimées en UTC pour la métropole et en FU pour l'outre-mer
- La mise à jour des fichiers est annuelle pour les historiques avant 1950, mensuelles pour les fichiers de 1950 jusqu'à l'année -2 et quotidiennes pour les deux dernières années";"daily";"Licence Ouverte / Open Licence version 2.0";"1908-01-01";"2025-02-04";"fr:departement";"";False;"2025-01-22T14:42:42.725000";"2025-03-26T08:45:30.663000";"climatologique-base,climatologique-base-donnees-stations-complementaires,hvd,meteodatagouvfr,meteorologiques";False;221;221;"csv.gz";3731;"";"";"";"";"";"1.00";0;0;0;650;3731
"676572407ce86a7705199653";"Package Radar";"package-radar";"";"https://www.data.gouv.fr/fr/datasets/package-radar/";"Météo-France";"534fff8ba3a7292c64a77ed4";"";"";"Obtenir les données publiques Radar pour la France.

Attention, récupérer les données nécessite de passer par le portail API de Météo-France.
";"unknown";"Licence Ouverte / Open Licence version 2.0";"";"";"country-group";"";False;"2024-12-20T13:33:52.783000";"2025-02-03T17:59:04.969000";"hvd,meteorologiques";False;1;1;"html";40;"";"";"";"";"";"0.44";0;0;0;441;37
"675bf4442d16a89b0a767b24";"Bulletin Vigilance";"bulletin-vigilance";"";"https://www.data.gouv.fr/fr/datasets/bulletin-vigilance/";"Météo-France";"534fff8ba3a7292c64a77ed4";"";"";"*Attention* : ces données ne sont accessibles que via le portail API de Météo-France. Plus d'infos sur la [page dédiée de l'API](https://www.data.gouv.fr/fr/dataservices/api-bulletin-vigilance/).

Flux de la Vigilance de Météo-France qui indique le niveau de danger d'une situation météorologique pour chaque département. Formats téléchargeables : un produit """"bulletin"""" de Vigilance, au format JSON : ce produit contient le texte des bulletins de suivi diffusés, qu’ils soient nationaux, zonaux (au sens zones de défense) ou départementaux. un produit """"carte"""" de Vigilance, au format JSON : ce produit contient les prévisions de risque, dont la chronologie des phénomènes, de niveau national et départemental. trois vignettes des cartes nationales de Vigilance à haute définition et au format PNG pour J et J+1, J seul, J+1 seul.";"daily";"Licence Ouverte / Open Licence version 2.0";"";"";"";"";False;"2024-12-13T08:45:55.991000";"2024-12-13T08:47:47.609000";"hvd,meteorologiques";False;0;0;"";0;"";"";"";"";"";"0.33";0;0;0;384;""
"6727e09aa5920b6489cd2d2c";"Champs CONSTANT";"champs-constant-1";"CONSTANT";"https://www.data.gouv.fr/fr/datasets/champs-constant-1/";"Météo-France";"534fff8ba3a7292c64a77ed4";"";"";"Champs CONSTANT (relief et masque terre-mer) pour les grilles des modèles météorologiques.

Les champs sont en grib2 compression grib_\_second_\_order.

Ils sont mis à jour une fois par an en début d'année.

Les fichiers sont repris en tant que ressources sur les jeux de données correspondants.
";"annual";"Licence Ouverte / Open Licence version 2.0";"2024-02-29";"2025-12-31";"other";"";False;"2024-11-03T20:44:09.997000";"2025-03-14T09:56:26.286000";"champ,constant,grille,masque,meteodatagouvfr,modele,relief,terre-mer";False;14;14;"grib2";612;"";"";"";"";"";"0.89";0;0;1;578;1731
"66ebf2cb9dd6916802ae90a1";"Postes";"postes";"";"https://www.data.gouv.fr/fr/datasets/postes/";"Météo-France";"534fff8ba3a7292c64a77ed4";"";"";"Fichier contenant la liste des postes, ouverts ou fermés, ayant des données climatologiques de base, avec leurs caractéristiques :
- dates d'ouverture et de fermeture (le cas échéant)
- coordonnées (Lambert et GPS)
- altitude
";"punctual";"Licence Ouverte / Open Licence version 2.0";"1688-06-01";"2024-09-17";"other";"France";False;"2024-09-19T09:45:47.241000";"2025-03-04T10:33:55.344000";"";False;3;2;"csv";781;"";"";"";"";"";"1.00";0;1;0;736;777
"66d02b7174375550d7b10f3f";"Données PNT - rétention 14 jours";"donnees-pnt-retention-14-jours";"";"https://www.data.gouv.fr/fr/datasets/donnees-pnt-retention-14-jours/";"Météo-France";"534fff8ba3a7292c64a77ed4";"";"";"Les données des Prévisions Numériques du Temps sont archivées 14 jours et mises à disposition sur une plateforme dédiée disponible ici. Vous pouvez y retrouver, par échéance temporelle, les données :
- AROME
- AROME Outre Mer
- ARPEGE
- Vagues surcotes";"punctual";"Licence Ouverte / Open Licence version 2.0";"2024-11-07";"2025-03-26";"other";"France";True;"2024-08-29T08:04:01.632000";"2025-03-26T14:00:20.034000";"hvd,meteorologiques";False;2;1;"url,json";1237;"";"";"";"";"";"1.00";0;1;0;1141;1220
"669e23a7ce052a9e8521b75e";"Réanalyses Coméphore";"reanalyses-comephore";"";"https://www.data.gouv.fr/fr/datasets/reanalyses-comephore/";"Météo-France";"534fff8ba3a7292c64a77ed4";"";"";"COMEPHORE (COmbinaison en vue de la Meilleure Estimation de la Précipitation HOraiRE), est une réanalyse horaire des précipitations par fusion des données des radars et des pluviomètres, couvrant la France métropolitaine.
Les réanalyses débutent le 1er janvier 1997.
L'archive COMEPHORE est incrémentée tous les mois, pour le mois N-2. Par exemple, l'archive de juillet est disponible à partir de début septembre.
";"monthly";"Licence Ouverte / Open Licence version 2.0";"2025-01-01";"2025-01-23";"other";"France métropolitaine";False;"2024-07-22T09:17:27.554000";"2025-03-18T08:52:08.840000";"climatologique-base,climatologique-base-donnees-spatialisees,donnees-ouvertes,lame-deau,meteodatagouvfr,meteofrance,reanalyse";False;338;337;"tar,odt";10763;"";"";"";"";"";"1.00";0;0;0;1682;10623
"667eae35510cd549fc7722c1";"ETP FAO Hargreaves";"etp-fao-hargreaves";"";"https://www.data.gouv.fr/fr/datasets/etp-fao-hargreaves/";"Météo-France";"534fff8ba3a7292c64a77ed4";"";"";"Données d'ETP (EvapoTranspiration) Safran FAO Hargreaves à destination des travaux sur le changement climatique.
Le calcul d'ETP FAO Hargreaves s'appuie sur l'approche Penman Monteith selon la formule FAO1 recommandée au niveau international. 
Cette ETP est calculée sur la France métropolitaine sur la grille du modèle Safran à la résolution de 8 km.";"annual";"Licence Ouverte / Open Licence";"1970-01-01";"2023-12-31";"country";"France métropolitaine";False;"2024-06-28T12:36:05.099000";"2025-02-03T18:03:20.410000";"changement-climatique,climatologique-changement-climatique,climatologique-changement-climatique-donnees-spatialisees,etp,meteodatagouvfr";False;7;6;"csv.gz,pdf";968;"";"";"";"";"";"1.00";0;0;0;748;869
"661d079b6357625e12013241";"Données ETP spatialisées quotidiennes";"donnees-etp-spatialisees-quotidiennes";"";"https://www.data.gouv.fr/fr/datasets/donnees-etp-spatialisees-quotidiennes/";"Météo-France";"534fff8ba3a7292c64a77ed4";"";"";"### Présentation

Données quotidiennes d’ETP (EvapoTranspitration Potentielle) Penman-Monteith interpolées en points de grille sur la France métropolitaine.

### Informations techniques

- Les données sont proposées en téléchargement, par année, au format csv compressé 
- La résolution est de 0.125° (environ 12km) 
- La mise à jour des fichiers est quotidienne pour l’année en cours
";"daily";"Licence Ouverte / Open Licence version 2.0";"1970-01-01";"2025-02-04";"other";"France métropolitaine";False;"2024-04-15T10:55:23.520000";"2025-03-26T13:47:34.634000";"climatologique-base,climatologique-base-donnees-spatialisees,meteodatagouvfr";False;58;56;"pdf,csv.gz,odt";4386;"";"";"";"";"";"1.00";0;0;0;1728;4151
"661d0762109ece6f985e9857";"Données ETP spatialisées décadaires";"donnees-etp-spatialisees-decadaires";"";"https://www.data.gouv.fr/fr/datasets/donnees-etp-spatialisees-decadaires/";"Météo-France";"534fff8ba3a7292c64a77ed4";"";"";"### Présentation

Données décadaires d’ETP (EvapoTranspitration Potentielle) Penman interpolées en points de grille sur la France métropolitaine.

### Informations techniques

- Les données sont proposées en téléchargement, par année, au format csv compressé 
- La résolution est de 0.125° (environ 12km) 
- La mise à jour des fichiers est décadaire pour l’année en cours
";"threeTimesAMonth";"Licence Ouverte / Open Licence version 2.0";"1970-01-01";"2025-02-04";"other";"France métropolitaine";False;"2024-04-15T10:54:26.044000";"2025-03-26T08:45:30.996000";"climatologique-base,climatologique-base-donnees-spatialisees,meteodatagouvfr";False;58;56;"pdf,csv.gz,odt";3220;"";"";"";"";"";"1.00";0;0;0;1166;2945
